Latitude,Longitude,UseCategory,Buildings,Units,Stories,Rooms,Beds,YearBuilt,Baths,Area,LandValue,ImprovementValue,HomeValue,LatestDocument
37.7347265,-122.2450113,Townhouse,1,1,2,8,4,1968,2.5,1628,112339,133935,246274,1983
37.7591485,-122.2467108,Single-family Detached,1,1,1,7,3,1907,2.5,1789,123475,124903,248378,1983
37.7602157,-122.2650564,Single-family Detached,1,1,1,6,4,1963,2.0,1411,136966,113096,250062,1983
37.7321329,-122.2445835,Townhouse,1,1,1,4,2,1971,2.0,1274,116696,137156,253852,1983
37.7595261,-122.2425449,Single-family Attached,1,2,1,9,3,1900,2.0,1317,94721,164580,259301,1983
37.7747001,-122.2865443,Single-family Detached,1,1,2,8,4,1908,2.0,2350,156138,108382,264520,1983
37.73752,-122.245226,Townhouse,1,1,0,0,0,1977,0.0,1534,94721,184895,279616,1983
37.773549,-122.255062,Single-family Attached,1,4,2,12,4,1926,4.0,2568,194693,107603,302296,1983
37.7412918,-122.2381573,Single-family Detached,1,1,1,8,3,1984,2.5,2197,58537,300455,358992,1983
37.7652565,-122.269598,Single-family Detached,1,1,0,0,0,1979,0.0,2421,165193,248106,413299,1983
37.7408928,-122.2397085,Single-family Detached,1,1,1,8,4,1984,3.0,2505,127115,292498,419613,1983
37.7598332,-122.240196,Single-family Detached,1,1,1,4,2,1890,1.0,800,33177,17885,51062,1984
37.7613359,-122.2307555,Single-family Detached,1,1,1,7,3,1910,1.0,1400,99931,58085,158016,1984
37.7767694,-122.265278,Single-family Detached,1,1,1,4,2,1923,1.0,678,132041,28984,161025,1984
37.769239,-122.2688226,Single-family Attached,1,2,0,15,5,1900,3.5,4562,73521,106009,179530,1984
37.7309262,-122.2348143,Townhouse,1,1,2,5,3,1975,1.5,1312,103628,80891,184519,1984
37.7772694,-122.2680916,Single-family Attached,1,2,1,9,5,1963,3.0,1815,129388,56832,186220,1984
37.772478,-122.2874746,Single-family Detached,1,1,1,5,2,1925,1.0,1471,111436,92864,204300,1984
37.7752284,-122.2682466,Single-family Detached,1,1,1,5,2,1924,1.0,1104,159562,48452,208014,1984
37.7323034,-122.2383721,Townhouse,1,1,2,5,3,1974,2.5,1664,74291,143010,217301,1984
37.7559081,-122.2296363,Single-family Detached,1,1,1,5,2,1917,1.0,1540,159699,58158,217857,1984
37.7542767,-122.2317749,Single-family Detached,1,1,1,5,3,1895,1.0,1330,192720,42499,235219,1984
37.7670367,-122.2331157,Single-family Detached,1,1,1,5,2,1920,1.0,1049,211081,40579,251660,1984
37.7614699,-122.2675377,Single-family Detached,1,1,1,5,3,1965,2.0,1485,135168,144176,279344,1984
37.759936,-122.23757,Single-family Detached,1,1,2,8,5,1890,1.5,2027,262003,22159,284162,1984
37.7632722,-122.2665186,Single-family Detached,1,1,1,6,3,1963,2.0,1515,111436,172727,284163,1984
37.737771,-122.245297,Townhouse,1,1,0,0,0,1977,0.0,2427,88406,270382,358788,1984
37.7422535,-122.2474642,Single-family Detached,1,1,1,8,4,1984,2.5,2414,137862,240622,378484,1984
37.7453691,-122.2486164,Single-family Detached,1,1,0,0,0,1980,0.0,2793,106318,322225,428543,1984
37.7679046,-122.255751,Single-family Detached,1,1,2,10,7,1900,3.0,3382,92864,337627,430491,1984
37.7451082,-122.2486164,Single-family Detached,1,1,0,0,0,1980,0.0,3075,104462,331466,435928,1984
37.7426992,-122.2390437,Single-family Detached,1,1,0,0,0,1980,0.0,2310,235698,202255,437953,1984
37.7407219,-122.2400852,Single-family Detached,1,1,1,10,4,1984,3.0,2721,142064,302538,444602,1984
37.7685776,-122.2645247,Single-family Detached,1,1,2,8,4,1906,3.5,4696,618147,143274,761421,1984
37.763195,-122.2354426,Single-family Attached,1,2,0,0,0,1907,0.0,2296,48200,24660,72860,1985
37.7736807,-122.2856139,Single-family Detached,1,1,1,3,1,1916,1.0,601,71845,21018,92863,1985
37.7324251,-122.2414324,Townhouse,1,1,1,4,2,1970,2.0,1274,76520,123540,200060,1985
37.7675154,-122.2475085,Single-family Detached,1,1,1,5,2,1916,1.0,1035,65004,144867,209871,1985
37.762176,-122.2498572,Single-family Detached,1,1,1,5,2,1912,1.0,1162,65004,146725,211729,1985
37.772745,-122.2643222,Single-family Detached,1,1,1,6,3,1908,2.0,1216,197259,34900,232159,1985
37.7753426,-122.2617775,Single-family Detached,1,1,1,6,3,1898,1.5,1567,77903,169114,247017,1985
37.7714209,-122.246433,Single-family Detached,1,1,1,8,4,1905,2.0,1619,83760,166012,249772,1985
37.7655771,-122.2276085,Single-family Detached,1,1,1,6,2,1940,1.5,1416,171826,78906,250732,1985
37.7598912,-122.2408608,Single-family Detached,1,1,2,9,5,1895,2.5,3030,125624,146606,272230,1985
37.77,-122.270307,Single-family Attached,1,2,1,8,4,1950,2.0,1760,91043,194833,285876,1985
37.7392949,-122.2429881,Townhouse,1,1,0,5,2,1978,2.5,1534,79688,215953,295641,1985
37.7611324,-122.2304452,Single-family Detached,1,1,1,6,3,1910,1.0,1465,219957,75933,295890,1985
37.7625412,-122.2407278,Single-family Detached,1,1,1,7,3,1890,2.0,1632,65004,241446,306450,1985
37.7296475,-122.2350105,Single-family Detached,1,1,1,6,4,1986,3.0,1702,145305,171343,316648,1985
37.7626773,-122.2352764,Single-family Detached,1,1,1,7,3,1927,1.5,1755,177012,141640,318652,1985
37.7641484,-122.2285947,Single-family Detached,1,1,1,7,3,1930,1.5,1806,74291,252590,326881,1985
37.7662648,-122.2329273,Single-family Detached,1,1,1,6,2,1925,5.0,1565,221532,108409,329941,1985
37.7621825,-122.2416585,Single-family Detached,1,0,2,7,3,1902,2.0,2313,111436,219159,330595,1985
37.7424636,-122.2390215,Single-family Detached,1,1,0,0,0,1980,0.0,1962,116945,258153,375098,1985
37.7418722,-122.2393096,Single-family Detached,1,1,1,7,3,1984,2.5,1965,127099,260143,387242,1985
37.7588065,-122.2345229,Single-family Detached,1,1,2,7,3,1984,2.5,2576,112861,282536,395397,1985
37.7431217,-122.2425449,Single-family Detached,1,1,1,9,4,1985,3.0,2209,160468,240703,401171,1985
37.7425321,-122.2427665,Single-family Detached,1,1,1,8,4,1985,3.0,2536,139296,269346,408642,1985
37.7419997,-122.2481732,Single-family Detached,1,1,1,9,4,1985,2.5,2350,198565,232509,431074,1985
37.7453078,-122.2480846,Single-family Detached,1,1,1,10,4,1986,3.0,2674,167520,289518,457038,1985
37.7740598,-122.2525605,Single-family Attached,1,2,2,9,5,1963,2.5,1648,31161,37215,68376,1986
37.777579,-122.265435,Single-family Detached,1,1,1,7,2,1908,1.5,1240,39390,34966,74356,1986
37.773205,-122.2804085,Single-family Detached,1,1,1,6,2,1936,1.0,1135,48424,33628,82052,1986
37.7722115,-122.2583655,Single-family Attached,1,3,2,10,4,1895,3.0,2544,58288,34524,92812,1986
37.7620954,-122.2371822,Single-family Detached,1,1,1,5,2,1910,1.0,1332,73629,23517,97146,1986
37.7702669,-122.258618,Single-family Detached,1,1,1,5,2,1912,1.0,1468,89258,65106,154364,1986
37.7723493,-122.2538899,Single-family Detached,1,1,1,5,2,1910,1.0,1288,81939,72834,154773,1986
37.7746517,-122.2819316,Single-family Detached,1,1,1,5,2,1922,1.0,967,54626,106198,160824,1986
37.7746965,-122.2676706,Single-family Detached,1,1,1,5,2,1904,1.0,1336,74291,98435,172726,1986
37.7606026,-122.2454588,Single-family Detached,1,1,1,5,2,1910,1.0,885,71378,107067,178445,1986
37.7695621,-122.2397085,Single-family Detached,1,1,1,7,4,1905,1.0,1616,91043,103789,194832,1986
37.762813,-122.245789,Single-family Detached,1,1,1,5,2,1907,1.0,886,44629,164234,208863,1986
37.7573326,-122.2477744,Single-family Detached,1,1,1,6,2,1927,1.0,1201,73198,136201,209399,1986
37.731469,-122.239894,Townhouse,1,1,2,5,3,1970,1.5,1340,85580,129281,214861,1986
37.7609039,-122.247452,Single-family Detached,1,1,2,5,2,1900,1.0,889,63730,163878,227608,1986
37.7577136,-122.2374925,Single-family Detached,1,1,1,5,2,1920,1.0,984,96398,144597,240995,1986
37.7713868,-122.2683796,Single-family Detached,1,1,2,6,2,1880,1.5,1234,71406,171409,242815,1986
37.7663182,-122.2377584,Single-family Detached,1,1,1,5,2,1915,1.0,1177,101754,153345,255099,1986
37.7660262,-122.2365174,Single-family Detached,1,1,1,8,4,1916,1.0,2045,192823,62923,255746,1986
37.7732269,-122.2819812,Single-family Attached,1,2,1,11,6,1900,3.0,2174,81939,174003,255942,1986
37.7288096,-122.2377251,Single-family Detached,1,1,1,4,2,1986,2.0,1028,132923,125457,258380,1986
37.7760046,-122.275823,Single-family Detached,1,1,1,6,3,1920,1.0,1252,81939,179173,261112,1986
37.7617565,-122.2313317,Single-family Detached,1,1,2,8,4,1905,1.5,2226,184895,85918,270813,1986
37.7745271,-122.2674934,Single-family Detached,1,1,1,5,2,1895,1.5,1212,81939,191191,273130,1986
37.7332234,-122.2352496,Townhouse,1,1,2,6,4,1973,2.5,1716,116749,156737,273486,1986
37.741887,-122.2467108,Single-family Detached,1,1,0,6,2,1982,2.0,1425,141272,132609,273881,1986
37.7654039,-122.2270766,Single-family Detached,1,1,1,5,2,1941,1.5,1080,204119,72106,276225,1986
37.7588655,-122.2261457,Single-family Detached,1,1,1,7,3,1939,1.0,1789,110708,166063,276771,1986
37.7286602,-122.2342127,Single-family Detached,1,1,1,4,2,1987,2.0,1028,154951,123354,278305,1986
37.7725934,-122.2751585,Single-family Detached,1,1,1,7,4,1905,1.0,1412,71406,207078,278484,1986
37.7612885,-122.2505663,Single-family Detached,1,1,1,8,4,1914,1.5,1775,98183,187441,285624,1986
37.7712078,-122.2449381,Single-family Detached,1,1,2,5,2,1912,1.5,1331,107109,178516,285625,1986
37.7691936,-122.2720792,Single-family Detached,1,1,1,7,2,1921,1.5,1618,89258,196661,285919,1986
37.760637,-122.2413483,Single-family Detached,1,1,1,7,4,1928,2.0,1849,127460,168484,295944,1986
37.7604355,-122.2324841,Single-family Detached,1,1,1,7,3,1911,1.5,1811,226193,71230,297423,1986
37.7299452,-122.2385561,Single-family Detached,1,1,1,5,3,1987,2.5,1449,131209,173160,304369,1986
